id_match,home_team,away_team,home_team_code,away_team_code,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,winner,winner_reason,year,date,date_time,utc_offset_hours,group_name,matchday_name,condition_humidity,condition_pitch,condition_temperature,condition_weather,condition_wind_speed,status,type,round,round_mode,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,goals,penalties_missed,penalties,red_cards,game_referees,stadium_city,stadium_name,stadium_name_media,stadium_name_official,stadium_name_event,stadium_name_sponsor
2020924,Netherlands,Denmark,NED,DEN,4.0,2.0,,,4.0,2.0,Netherlands,WIN_REGULAR,2017,2017-08-06,2017-08-06T15:00:00Z,2.0,,MD6,,,,,,FINISHED,SINGLE,FINAL,FINAL,28182.0,71687,NED,22308.0,52.2365611,6.8377,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 6, 'second': 59}, 'international_name': 'Nadia Nadim', 'club_shirt_name': 'Nadim', 'country_code': 'DEN', 'national_field_position': 'FORWARD', 'national_jersey_number': '20', 'goal_type': 'PENALTY'}, {'phase': 'FIRST_HALF', 'time': {'minute': 10, 'second': 26}, 'international_name': 'Vivianne Miedema', 'club_shirt_name': 'Miedema', 'country_code': 'NED', 'national_field_position': 'FORWARD', 'national_jersey_number': '9', 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 28, 'second': 7}, 'international_name': 'Lieke Martens', 'club_shirt_name': 'Martens-Van Leer', 'country_code': 'NED', 'national_field_position': 'FORWARD', 'national_jersey_number': '11', 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 33, 'second': 36}, 'international_name': 'Pernille Harder', 'club_shirt_name': 'Harder', 'country_code': 'DEN', 'national_field_position': 'FORWARD', 'national_jersey_number': '10', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 51, 'second': 48}, 'international_name': 'Sherida Spitse', 'club_shirt_name': 'Spitse', 'country_code': 'NED', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '8', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 89, 'second': 13}, 'international_name': 'Vivianne Miedema', 'club_shirt_name': 'Miedema', 'country_code': 'NED', 'national_field_position': 'FORWARD', 'national_jersey_number': '9', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Belinda Brem', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Brem', 'gender': 'FEMALE', 'counrty_code': 'SUI', 'counrty': 'Switzerland'}, {'name': 'Esther Staubli', 'role': 'REFEREE', 'name_short': 'Staubli', 'gender': 'FEMALE', 'counrty_code': 'SUI', 'counrty': 'Switzerland'}, {'name': 'Renata Tomasova', 'role': 'UEFA_DELEGATE', 'name_short': 'Tomasova', 'gender': 'FEMALE', 'counrty_code': 'SVK', 'counrty': 'Slovakia'}, {'name': 'Sanja Rodjak-Karšić', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Rodjak-Karšić', 'gender': 'FEMALE', 'counrty_code': 'CRO', 'counrty': 'Croatia'}, {'name': 'Bibiana Steinhaus', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Steinhaus', 'gender': 'FEMALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Dagmar Damkova', 'role': 'REFEREE_OBSERVER', 'name_short': 'Damkova', 'gender': 'FEMALE', 'counrty_code': 'CZE', 'counrty': 'Czechia'}]",Enschede,FC Twente Stadion,FC Twente Stadion,FC Twente Stadion,FC Twente Stadion,FC Twente Stadion
2020923,Netherlands,England,NED,ENG,3.0,0.0,,,3.0,0.0,Netherlands,WIN_REGULAR,2017,2017-08-03,2017-08-03T18:45:00Z,2.0,,MD5,,,21.0,SUNNY,0.0,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,27093.0,71687,NED,22308.0,52.2365611,6.8377,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 22, 'second': 22}, 'international_name': 'Vivianne Miedema', 'club_shirt_name': 'Miedema', 'country_code': 'NED', 'national_field_position': 'FORWARD', 'national_jersey_number': '9', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 62, 'second': 19}, 'international_name': 'Daniëlle van de Donk', 'club_shirt_name': 'Van De Donk', 'country_code': 'NED', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '10', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'injuryMinute': 3, 'minute': 90}, 'international_name': 'Millie Bright', 'club_shirt_name': 'Bright', 'country_code': '', 'national_field_position': 'DEFENDER', 'national_jersey_number': '2', 'goal_type': 'OWN'}]",,,,"[{'name': 'Stéphanie Frappart', 'role': 'REFEREE', 'name_short': 'Frappart', 'gender': 'FEMALE', 'counrty_code': 'FRA', 'counrty': 'France'}, {'name': 'Bibiana Steinhaus', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Steinhaus', 'gender': 'FEMALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Manuela Nicolosi', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Nicolosi', 'gender': 'FEMALE', 'counrty_code': 'FRA', 'counrty': 'France'}, {'name': 'Chrysoula Kourompylia', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Kourompylia', 'gender': 'FEMALE', 'counrty_code': 'GRE', 'counrty': 'Greece'}, {'name': 'Renata Tomasova', 'role': 'UEFA_DELEGATE', 'name_short': 'Tomasova', 'gender': 'FEMALE', 'counrty_code': 'SVK', 'counrty': 'Slovakia'}, {'name': 'Caroline De Boeck', 'role': 'REFEREE_OBSERVER', 'name_short': 'De Boeck', 'gender': 'FEMALE', 'counrty_code': 'BEL', 'counrty': 'Belgium'}]",Enschede,FC Twente Stadion,FC Twente Stadion,FC Twente Stadion,FC Twente Stadion,FC Twente Stadion
2020922,Denmark,Austria,DEN,AUT,0.0,0.0,3.0,0.0,0.0,0.0,Denmark,WIN_ON_PENALTIES,2017,2017-08-03,2017-08-03T16:00:00Z,2.0,,MD5,,,22.0,PARTLY_CLOUDY,0.0,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,10184.0,63386,NED,18250.0,51.5948639,4.7504306,105.0,68.0,,,"[{'phase': 'PENALTY', 'time': {}, 'international_name': 'Nadia Nadim', 'club_shirt_name': 'Nadim', 'country_code': 'DEN', 'national_field_position': 'FORWARD', 'national_jersey_number': '20', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Laura Feiersinger', 'club_shirt_name': 'Feiersinger', 'country_code': 'AUT', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '10', 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Pernille Harder', 'club_shirt_name': 'Harder', 'country_code': 'DEN', 'national_field_position': 'FORWARD', 'national_jersey_number': '10', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Viktoria Pinther', 'club_shirt_name': 'Pinther', 'country_code': 'AUT', 'national_field_position': 'FORWARD', 'national_jersey_number': '7', 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Sofie Pedersen', 'club_shirt_name': 'Pedersen', 'country_code': 'DEN', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '13', 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Verena Hanshaw', 'club_shirt_name': 'Hanshaw', 'country_code': 'AUT', 'national_field_position': 'DEFENDER', 'national_jersey_number': '19', 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Simone Boye Sørensen', 'club_shirt_name': 'Boye Sørensen', 'country_code': 'DEN', 'national_field_position': 'DEFENDER', 'national_jersey_number': '5', 'penalty_type': 'SCORED'}]",,"[{'name': 'Katalin Kulcsár', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Kulcsár', 'gender': 'FEMALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'Dagmar Damkova', 'role': 'REFEREE_OBSERVER', 'name_short': 'Damkova', 'gender': 'FEMALE', 'counrty_code': 'CZE', 'counrty': 'Czechia'}, {'name': 'Petruta Iugulescu', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Iugulescu', 'gender': 'FEMALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Camelia Nicolae', 'role': 'UEFA_DELEGATE', 'name_short': 'Nicolae', 'gender': 'FEMALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Kateryna Monzul', 'role': 'REFEREE', 'name_short': 'Monzul', 'gender': 'FEMALE', 'counrty_code': 'UKR', 'counrty': 'Ukraine'}, {'name': 'Maryna Striletska', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Striletska', 'gender': 'FEMALE', 'counrty_code': 'UKR', 'counrty': 'Ukraine'}]",Breda,Rat Verlegh Stadion,Rat Verlegh Stadion,Rat Verlegh Stadion,Rat Verlegh Stadion,Rat Verlegh Stadion 
2020921,England,France,ENG,FRA,1.0,0.0,,,1.0,0.0,England,WIN_REGULAR,2017,2017-07-30,2017-07-30T18:45:00Z,2.0,,MD4,,,21.0,PARTLY_CLOUDY,0.0,FINISHED,SINGLE,QUARTER_FINALS,KNOCK_OUT,6283.0,63389,NED,7386.0,52.26045,6.1725528,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 60, 'second': 28}, 'international_name': 'Jodie Taylor', 'club_shirt_name': 'Taylor', 'country_code': 'ENG', 'national_field_position': 'FORWARD', 'national_jersey_number': '9', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Esther Staubli', 'role': 'REFEREE', 'name_short': 'Staubli', 'gender': 'FEMALE', 'counrty_code': 'SUI', 'counrty': 'Switzerland'}, {'name': 'Belinda Brem', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Brem', 'gender': 'FEMALE', 'counrty_code': 'SUI', 'counrty': 'Switzerland'}, {'name': 'Lina Lehtovaara', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Lehtovaara', 'gender': 'FEMALE', 'counrty_code': 'FIN', 'counrty': 'Finland'}, {'name': 'Bo Karlsson', 'role': 'REFEREE_OBSERVER', 'name_short': 'Karlsson', 'gender': 'MALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}, {'name': 'Sanja Rodjak-Karšić', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Rodjak-Karšić', 'gender': 'FEMALE', 'counrty_code': 'CRO', 'counrty': 'Croatia'}, {'name': 'Renata Tomasova', 'role': 'UEFA_DELEGATE', 'name_short': 'Tomasova', 'gender': 'FEMALE', 'counrty_code': 'SVK', 'counrty': 'Slovakia'}]",Deventer,Stadion De Adelaarshorst,Stadion De Adelaarshorst,Stadion De Adelaarshorst,Stadion De Adelaarshorst,Stadion De Adelaarshorst
2020920,Austria,Spain,AUT,ESP,0.0,0.0,5.0,3.0,0.0,0.0,Austria,WIN_ON_PENALTIES,2017,2017-07-30,2017-07-30T16:00:00Z,2.0,,MD4,,,21.0,PARTLY_CLOUDY,0.0,FINISHED,SINGLE,QUARTER_FINALS,KNOCK_OUT,3488.0,63385,NED,14580.0,51.5428556,5.0667917,105.0,68.0,,,"[{'phase': 'PENALTY', 'time': {}, 'international_name': 'Laura Feiersinger', 'club_shirt_name': 'Feiersinger', 'country_code': 'AUT', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '10', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Olga García', 'club_shirt_name': 'OLGA GARCIA', 'country_code': 'ESP', 'national_field_position': 'FORWARD', 'national_jersey_number': '22', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Nina Burger', 'club_shirt_name': 'Burger', 'country_code': 'AUT', 'national_field_position': 'FORWARD', 'national_jersey_number': '10', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Amanda Sampedro', 'club_shirt_name': 'A. Sampedro', 'country_code': 'ESP', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '19', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Verena Hanshaw', 'club_shirt_name': 'Hanshaw', 'country_code': 'AUT', 'national_field_position': 'DEFENDER', 'national_jersey_number': '19', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Silvia Meseguer', 'club_shirt_name': 'Meseguer', 'country_code': 'ESP', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '15', 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Viktoria Pinther', 'club_shirt_name': 'Pinther', 'country_code': 'AUT', 'national_field_position': 'FORWARD', 'national_jersey_number': '7', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Marta Corredera', 'club_shirt_name': 'M. CORREDERA', 'country_code': 'ESP', 'national_field_position': 'DEFENDER', 'national_jersey_number': '7', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Sarah Puntigam', 'club_shirt_name': 'Puntigam', 'country_code': 'AUT', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '17', 'penalty_type': 'SCORED'}]",,"[{'name': 'Stéphanie Frappart', 'role': 'REFEREE', 'name_short': 'Frappart', 'gender': 'FEMALE', 'counrty_code': 'FRA', 'counrty': 'France'}, {'name': 'Manuela Nicolosi', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Nicolosi', 'gender': 'FEMALE', 'counrty_code': 'FRA', 'counrty': 'France'}, {'name': 'Camelia Nicolae', 'role': 'UEFA_DELEGATE', 'name_short': 'Nicolae', 'gender': 'FEMALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Dagmar Damkova', 'role': 'REFEREE_OBSERVER', 'name_short': 'Damkova', 'gender': 'FEMALE', 'counrty_code': 'CZE', 'counrty': 'Czechia'}, {'name': 'Sian Massey', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Massey', 'gender': 'FEMALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Monika Mularczyk', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Mularczyk', 'gender': 'FEMALE', 'counrty_code': 'POL', 'counrty': 'Poland'}]",Tilburg, Koning Willem II stadion,Koning Willem II Stadion, Koning Willem II stadion, Koning Willem II stadion, Koning Willem II stadion
2020919,Germany,Denmark,GER,DEN,1.0,2.0,,,1.0,2.0,Denmark,WIN_REGULAR,2017,2017-07-30,2017-07-30T10:00:00Z,2.0,,MD4,,,,,,FINISHED,SINGLE,QUARTER_FINALS,KNOCK_OUT,5251.0,63382,NED,10625.0,51.9195306,4.4335611,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 3, 'second': 14}, 'international_name': 'Isabel Kerschowski', 'club_shirt_name': 'Kerschowski', 'country_code': 'GER', 'national_field_position': 'DEFENDER', 'national_jersey_number': '17', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 49, 'second': 7}, 'international_name': 'Nadia Nadim', 'club_shirt_name': 'Nadim', 'country_code': 'DEN', 'national_field_position': 'FORWARD', 'national_jersey_number': '20', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 83, 'second': 15}, 'international_name': 'Theresa Nielsen', 'club_shirt_name': 'Eslund', 'country_code': 'DEN', 'national_field_position': 'DEFENDER', 'national_jersey_number': '8', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Judit Kulcsár', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Kulcsár', 'gender': 'FEMALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'Petruta Iugulescu', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Iugulescu', 'gender': 'FEMALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Anna Kapasoglou', 'role': 'UEFA_DELEGATE', 'name_short': 'Kapasoglou', 'gender': 'FEMALE', 'counrty_code': 'GRE', 'counrty': 'Greece'}, {'name': 'Regina Konink-Belksma', 'role': 'REFEREE_OBSERVER', 'name_short': 'Konink-Belksma', 'gender': 'FEMALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Lorraine Watson', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Watson', 'gender': 'FEMALE', 'counrty_code': 'SCO', 'counrty': 'Scotland'}, {'name': 'Katalin Kulcsár', 'role': 'REFEREE', 'name_short': 'Kulcsár', 'gender': 'FEMALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}]",Rotterdam,Sparta Stadion,Sparta Stadion,Sparta Stadion,Sparta Stadion,Sparta Stadion
2020918,Netherlands,Sweden,NED,SWE,2.0,0.0,,,2.0,0.0,Netherlands,WIN_REGULAR,2017,2017-07-29,2017-07-29T16:00:00Z,2.0,,MD4,,,23.0,PARTLY_CLOUDY,0.0,FINISHED,SINGLE,QUARTER_FINALS,KNOCK_OUT,11106.0,63390,NED,12600.0,51.9558278,6.3096556,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 33, 'second': 47}, 'international_name': 'Lieke Martens', 'club_shirt_name': 'Martens-Van Leer', 'country_code': 'NED', 'national_field_position': 'FORWARD', 'national_jersey_number': '11', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 64, 'second': 10}, 'international_name': 'Vivianne Miedema', 'club_shirt_name': 'Miedema', 'country_code': 'NED', 'national_field_position': 'FORWARD', 'national_jersey_number': '9', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Carina Vitulano', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Vitulano', 'gender': 'FEMALE', 'counrty_code': 'ITA', 'counrty': 'Italy'}, {'name': 'Bibiana Steinhaus', 'role': 'REFEREE', 'name_short': 'Steinhaus', 'gender': 'FEMALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Iveta Bankova', 'role': 'UEFA_DELEGATE', 'name_short': 'Bankova', 'gender': 'FEMALE', 'counrty_code': 'BUL', 'counrty': 'Bulgaria'}, {'name': 'Katrin Rafalski', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Rafalski', 'gender': 'FEMALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Chrysoula Kourompylia', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Kourompylia', 'gender': 'FEMALE', 'counrty_code': 'GRE', 'counrty': 'Greece'}, {'name': 'Caroline De Boeck', 'role': 'REFEREE_OBSERVER', 'name_short': 'De Boeck', 'gender': 'FEMALE', 'counrty_code': 'BEL', 'counrty': 'Belgium'}]",Doetinchem,Stadion De Vijverberg,Stadion De Vijverberg,Stadion De Vijverberg,Stadion De Vijverberg,Stadion De Vijverberg
2020917,Scotland,Spain,SCO,ESP,1.0,0.0,,,1.0,0.0,Scotland,WIN_REGULAR,2017,2017-07-27,2017-07-27T18:45:00Z,2.0,Group D,MD3,,,20.0,PARTLY_CLOUDY,0.0,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,4840.0,63389,NED,7386.0,52.26045,6.1725528,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 42, 'second': 12}, 'international_name': 'Caroline Weir', 'club_shirt_name': 'WEIR', 'country_code': 'SCO', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '9', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Lina Lehtovaara', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Lehtovaara', 'gender': 'FEMALE', 'counrty_code': 'FIN', 'counrty': 'Finland'}, {'name': 'Caroline De Boeck', 'role': 'REFEREE_OBSERVER', 'name_short': 'De Boeck', 'gender': 'FEMALE', 'counrty_code': 'BEL', 'counrty': 'Belgium'}, {'name': 'Mária Súkeníková', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Súkeníková', 'gender': 'FEMALE', 'counrty_code': 'SVK', 'counrty': 'Slovakia'}, {'name': 'Jana Adámková', 'role': 'REFEREE', 'name_short': 'Adámková', 'gender': 'FEMALE', 'counrty_code': 'CZE', 'counrty': 'Czechia'}, {'name': 'Renata Tomasova', 'role': 'UEFA_DELEGATE', 'name_short': 'Tomasova', 'gender': 'FEMALE', 'counrty_code': 'SVK', 'counrty': 'Slovakia'}, {'name': 'Lucie Ratajová', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Ratajová', 'gender': 'FEMALE', 'counrty_code': 'CZE', 'counrty': 'Czechia'}]",Deventer,Stadion De Adelaarshorst,Stadion De Adelaarshorst,Stadion De Adelaarshorst,Stadion De Adelaarshorst,Stadion De Adelaarshorst
2020916,Portugal,England,POR,ENG,1.0,2.0,,,1.0,2.0,England,WIN_REGULAR,2017,2017-07-27,2017-07-27T18:45:00Z,2.0,Group D,MD3,,,18.0,PARTLY_CLOUDY,0.0,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,3335.0,63385,NED,14580.0,51.5428556,5.0667917,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 7, 'second': 17}, 'international_name': 'Toni Duggan', 'club_shirt_name': 'Duggan', 'country_code': '', 'national_field_position': 'FORWARD', 'national_jersey_number': '17', 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 17, 'second': 47}, 'international_name': 'Carolina Mendes', 'club_shirt_name': 'C. Mendes', 'country_code': 'POR', 'national_field_position': 'FORWARD', 'national_jersey_number': '18', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 48, 'second': 31}, 'international_name': 'Nikita Parris', 'club_shirt_name': 'Parris', 'country_code': '', 'national_field_position': 'FORWARD', 'national_jersey_number': '16', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Esther Staubli', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Staubli', 'gender': 'FEMALE', 'counrty_code': 'SUI', 'counrty': 'Switzerland'}, {'name': 'Camelia Nicolae', 'role': 'UEFA_DELEGATE', 'name_short': 'Nicolae', 'gender': 'FEMALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Oleksandra Ardasheva', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Ardasheva', 'gender': 'FEMALE', 'counrty_code': 'UKR', 'counrty': 'Ukraine'}, {'name': 'Maryna Striletska', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Striletska', 'gender': 'FEMALE', 'counrty_code': 'UKR', 'counrty': 'Ukraine'}, {'name': 'Kateryna Monzul', 'role': 'REFEREE', 'name_short': 'Monzul', 'gender': 'FEMALE', 'counrty_code': 'UKR', 'counrty': 'Ukraine'}, {'name': 'Regina Konink-Belksma', 'role': 'REFEREE_OBSERVER', 'name_short': 'Konink-Belksma', 'gender': 'FEMALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}]",Tilburg, Koning Willem II stadion,Koning Willem II Stadion, Koning Willem II stadion, Koning Willem II stadion, Koning Willem II stadion
2020915,Iceland,Austria,ISL,AUT,0.0,3.0,,,0.0,3.0,Austria,WIN_REGULAR,2017,2017-07-26,2017-07-26T18:45:00Z,2.0,Group C,MD3,,,20.0,CLOUDY_NIGHT,0.0,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,4120.0,63382,NED,10625.0,51.9195306,4.4335611,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 36, 'second': 59}, 'international_name': 'Sarah Zadrazil', 'club_shirt_name': 'Zadrazil', 'country_code': 'AUT', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '9', 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 44, 'second': 37}, 'international_name': 'Nina Burger', 'club_shirt_name': 'Burger', 'country_code': 'AUT', 'national_field_position': 'FORWARD', 'national_jersey_number': '10', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 89, 'second': 8}, 'international_name': 'Stefanie Enzinger', 'club_shirt_name': 'Enzinger', 'country_code': 'AUT', 'national_field_position': 'FORWARD', 'national_jersey_number': '22', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Carina Vitulano', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Vitulano', 'gender': 'FEMALE', 'counrty_code': 'ITA', 'counrty': 'Italy'}, {'name': 'Riem Hussein', 'role': 'REFEREE', 'name_short': 'Hussein', 'gender': 'FEMALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Christina Biehl', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Biehl', 'gender': 'FEMALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Caroline De Boeck', 'role': 'REFEREE_OBSERVER', 'name_short': 'De Boeck', 'gender': 'FEMALE', 'counrty_code': 'BEL', 'counrty': 'Belgium'}, {'name': 'Anna Kapasoglou', 'role': 'UEFA_DELEGATE', 'name_short': 'Kapasoglou', 'gender': 'FEMALE', 'counrty_code': 'GRE', 'counrty': 'Greece'}, {'name': 'Chrysoula Kourompylia', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Kourompylia', 'gender': 'FEMALE', 'counrty_code': 'GRE', 'counrty': 'Greece'}]",Rotterdam,Sparta Stadion,Sparta Stadion,Sparta Stadion,Sparta Stadion,Sparta Stadion
